DATE,DISP_INCOME
1996-01-01,29202.0
1996-02-01,29404.0
1996-03-01,29472.0
1996-04-01,29267.0
1996-05-01,29609.0
1996-06-01,29757.0
1996-07-01,29647.0
1996-08-01,29689.0
1996-09-01,29725.0
1996-10-01,29691.0
1996-11-01,29742.0
1996-12-01,29817.0
1997-01-01,29877.0
1997-02-01,29935.0
1997-03-01,30050.0
1997-04-01,30043.0
1997-05-01,30146.0
1997-06-01,30211.0
1997-07-01,30291.0
1997-08-01,30412.0
1997-09-01,30458.0
1997-10-01,30577.0
1997-11-01,30745.0
1997-12-01,30894.0
1998-01-01,31139.0
1998-02-01,31312.0
1998-03-01,31465.0
1998-04-01,31534.0
1998-05-01,31632.0
1998-06-01,31780.0
1998-07-01,31803.0
1998-08-01,31871.0
1998-09-01,31931.0
1998-10-01,31945.0
1998-11-01,32047.0
1998-12-01,32080.0
1999-01-01,32230.0
1999-02-01,32319.0
1999-03-01,32325.0
1999-04-01,32195.0
1999-05-01,32225.0
1999-06-01,32306.0
1999-07-01,32338.0
1999-08-01,32444.0
1999-09-01,32373.0
1999-10-01,32522.0
1999-11-01,32706.0
1999-12-01,32931.0
2000-01-01,33119.0
2000-02-01,33222.0
2000-03-01,33284.0
2000-04-01,33426.0
2000-05-01,33537.0
2000-06-01,33599.0
2000-07-01,33746.0
2000-08-01,33920.0
2000-09-01,33924.0
2000-10-01,33985.0
2000-11-01,33965.0
2000-12-01,34001.0
2001-01-01,34151.0
2001-02-01,34166.0
2001-03-01,34228.0
2001-04-01,34100.0
2001-05-01,33988.0
2001-06-01,33954.0
2001-07-01,34420.0
2001-08-01,34953.0
2001-09-01,34622.0
2001-10-01,33984.0
2001-11-01,33995.0
2001-12-01,34028.0
2002-01-01,34707.0
2002-02-01,34735.0
2002-03-01,34734.0
2002-04-01,34827.0
2002-05-01,34941.0
2002-06-01,35018.0
2002-07-01,34902.0
2002-08-01,34882.0
2002-09-01,34892.0
2002-10-01,34964.0
2002-11-01,35031.0
2002-12-01,35090.0
2003-01-01,35015.0
2003-02-01,34867.0
2003-03-01,34925.0
2003-04-01,35105.0
2003-05-01,35353.0
2003-06-01,35428.0
2003-07-01,35826.0
2003-08-01,36043.0
2003-09-01,35605.0
2003-10-01,35711.0
2003-11-01,35899.0
2003-12-01,35903.0
2004-01-01,35860.0
2004-02-01,35901.0
2004-03-01,36020.0
2004-04-01,36117.0
2004-05-01,36273.0
2004-06-01,36273.0
2004-07-01,36332.0
2004-08-01,36422.0
2004-09-01,36417.0
2004-10-01,36407.0
2004-11-01,36276.0
2004-12-01,37591.0
2005-01-01,36199.0
2005-02-01,36199.0
2005-03-01,36312.0
2005-04-01,36403.0
2005-05-01,36537.0
2005-06-01,36591.0
2005-07-01,36609.0
2005-08-01,36636.0
2005-09-01,36465.0
2005-10-01,36617.0
2005-11-01,36817.0
2005-12-01,36918.0
2006-01-01,37297.0
2006-02-01,37454.0
2006-03-01,37576.0
2006-04-01,37530.0
2006-05-01,37475.0
2006-06-01,37496.0
2006-07-01,37457.0
2006-08-01,37401.0
2006-09-01,37576.0
2006-10-01,37723.0
2006-11-01,37850.0
2006-12-01,38000.0
2007-01-01,37962.0
2007-02-01,38055.0
2007-03-01,38145.0
2007-04-01,38167.0
2007-05-01,38156.0
2007-06-01,38101.0
2007-07-01,38107.0
2007-08-01,38092.0
2007-09-01,38127.0
2007-10-01,38083.0
2007-11-01,38015.0
2007-12-01,38118.0
2008-01-01,38095.0
2008-02-01,38049.0
2008-03-01,38015.0
2008-04-01,37841.0
2008-05-01,39653.0
2008-06-01,38619.0
2008-07-01,37992.0
2008-08-01,37739.0
2008-09-01,37789.0
2008-10-01,38037.0
2008-11-01,38328.0
2008-12-01,38111.0
2009-01-01,38290.0
2009-02-01,37875.0
2009-03-01,37833.0
2009-04-01,38025.0
2009-05-01,38541.0
2009-06-01,37809.0
2009-07-01,37616.0
2009-08-01,37515.0
2009-09-01,37596.0
2009-10-01,37453.0
2009-11-01,37533.0
2009-12-01,37699.0
2010-01-01,37721.0
2010-02-01,37732.0
2010-03-01,37859.0
2010-04-01,38151.0
2010-05-01,38412.0
2010-06-01,38409.0
2010-07-01,38433.0
2010-08-01,38529.0
2010-09-01,38499.0
2010-10-01,38474.0
2010-11-01,38481.0
2010-12-01,38680.0
2011-01-01,38831.0
2011-02-01,38915.0
2011-03-01,38784.0
2011-04-01,38690.0
2011-05-01,38608.0
2011-06-01,38725.0
2011-07-01,38828.0
2011-08-01,38773.0
2011-09-01,38691.0
2011-10-01,38705.0
2011-11-01,38666.0
2011-12-01,39008.0
2012-01-01,39253.0
2012-02-01,39466.0
2012-03-01,39590.0
2012-04-01,39744.0
2012-05-01,39731.0
2012-06-01,39681.0
2012-07-01,39380.0
2012-08-01,39248.0
2012-09-01,39501.0
2012-10-01,39743.0
2012-11-01,40238.0
